status,employees,firm_age,man_gender,sector
Open,14,21,Male,Manufacturing
Open,6,20,Male,Manufacturing
Open,110,13,Male,Other Services
Open,19,12,Female,Retail
Temporary closed,112,11,Male,Manufacturing
Temporary closed,8,35,Female,Other Services
Open,134,24,Male,Manufacturing
Open,125,10,Male,Other Services
Open,97,26,Female,Manufacturing
Temporary closed,4,14,Male,Manufacturing
Open,6,11,Female,Retail
Open,15,27,Female,Manufacturing
Open,173,38,Male,Manufacturing
Open,34,12,Male,Retail
Open,19,25,Male,Manufacturing
Open,7,40,Male,Manufacturing
Open,100,9,Male,Manufacturing
Open,33,14,Male,Manufacturing
Open,20,16,Male,Other Services
Open,6,18,Male,Manufacturing
Open,47,17,Male,Manufacturing
Temporary closed,24,11,Male,Manufacturing
Temporary closed,10,7,Male,Other Services
Open,5,19,Female,Retail
Open,15,56,Female,Manufacturing
Open,200,12,Male,Manufacturing
Open,150,11,Male,Manufacturing
Open,50,12,Male,Manufacturing
Open,6,23,Male,Manufacturing
Open,7,14,Male,Retail
Temporary closed,7,13,Female,Manufacturing
Open,15,29,Male,Manufacturing
Open,7,16,Male,Manufacturing
Open,15,17,Male,Retail
Temporary closed,8,13,Male,Other Services
Open,8,10,Female,Other Services
Temporary closed,5,28,Male,Manufacturing
Open,48,25,Female,Other Services
Temporary closed,20,59,Male,Manufacturing
Open,5,9,Male,Retail
Temporary closed,5,8,Male,Manufacturing
Open,6,6,Female,Other Services
Open,30,17,Male,Other Services
Temporary closed,14,30,Male,Retail
Open,8,27,Male,Manufacturing
Open,9,9,Female,Retail
Open,7,60,Female,Manufacturing
Open,5,31,Male,Retail
Open,125,13,Male,Manufacturing
Open,5,20,Female,Manufacturing
Temporary closed,41,15,Female,Manufacturing
Open,5,25,Male,Other Services
Open,100,19,Male,Other Services
Open,30,24,Male,Manufacturing
Temporary closed,13,7,Female,Retail
Open,19,12,Male,Manufacturing
Temporary closed,5,4,Male,Manufacturing
Open,140,13,Female,Manufacturing
Open,100,26,Male,Other Services
Open,15,22,Male,Manufacturing
Temporary closed,5,8,Male,Manufacturing
Open,5,17,Male,Retail
Open,10,13,Male,Other Services
Open,13,15,Male,Retail
Temporary closed,5,8,Male,Other Services
Open,70,31,Male,Manufacturing
Open,10,14,Male,Manufacturing
Temporary closed,7,8,Male,Manufacturing
Open,16,15,Female,Retail
Temporary closed,16,14,Male,Manufacturing
Open,8,11,Male,Manufacturing
Temporary closed,5,22,Female,Retail
Open,28,30,Male,Manufacturing
Open,13,11,Male,Retail
Temporary closed,6,23,Female,Manufacturing
Temporary closed,5,16,Female,Retail
Open,5,40,Male,Manufacturing
Open,38,13,Male,Retail
Open,9,10,Male,Manufacturing
Open,25,38,Male,Retail
Open,56,40,Male,Retail
Temporary closed,15,11,Female,Manufacturing
Open,11,20,Male,Other Services
Temporary closed,9,26,Male,Manufacturing
Open,60,15,Male,Manufacturing
Permenant closed,23,12,Female,Manufacturing
Open,5,16,Male,Retail
Open,12,30,Male,Manufacturing
Open,22,94,Male,Manufacturing
Open,5,36,Female,Manufacturing
Temporary closed,15,18,Male,Other Services
Open,5,20,Female,Manufacturing
Open,5,29,Female,Manufacturing
Open,7,26,Male,Manufacturing
Open,8,73,Male,Manufacturing
Open,11,11,Male,Manufacturing
Open,18,24,Male,Manufacturing
Open,5,8,Male,Manufacturing
Temporary closed,160,24,Male,Manufacturing
Temporary closed,5,35,Male,Manufacturing
Temporary closed,30,35,Male,Manufacturing
Open,6,11,Male,Manufacturing
Open,10,26,Male,Retail
Open,15,9,Male,Manufacturing
Temporary closed,20,21,Female,Retail
Open,12,40,Male,Manufacturing
Open,5,5,Male,Retail
Permenant closed,7,16,Male,Other Services
Open,5,16,Male,Manufacturing
Temporary closed,30,20,Female,Retail
Temporary closed,32,44,Male,Manufacturing
Open,5,24,Male,Manufacturing
Temporary closed,5,13,Male,Manufacturing
Open,6,11,Female,Retail
Temporary closed,10,5,Male,Manufacturing
Open,10,20,Male,Retail
Open,19,24,Male,Manufacturing
Open,8,16,Female,Manufacturing
Open,7,22,Male,Manufacturing
Open,8,14,Female,Retail
Open,110,39,Male,Manufacturing
Temporary closed,10,43,Male,Manufacturing
Open,12,33,Male,Manufacturing
Open,50,17,Male,Other Services
Open,33,41,Male,Retail
Open,167,30,Female,Manufacturing
Open,58,3,Male,Manufacturing
Open,10,21,Female,Manufacturing
Open,8,10,Male,Other Services
Open,25,20,Male,Manufacturing
Open,8,10,Male,Retail
Open,10,18,Female,Retail
Open,100,11,Male,Manufacturing
Open,10,24,Male,Manufacturing
Open,7,8,Male,Other Services
Open,12,20,Male,Manufacturing
Open,8,19,Male,Other Services
Open,8,26,Male,Retail
Temporary closed,16,34,Female,Manufacturing
Open,20,8,Male,Manufacturing
Open,7,15,Male,Manufacturing
Open,15,24,Male,Manufacturing
Temporary closed,7,47,Female,Other Services
Open,5,17,Male,Other Services
Temporary closed,8,32,Male,Manufacturing
Open,9,13,Male,Manufacturing
Temporary closed,3,36,Male,Manufacturing
Open,5,21,Male,Other Services
Open,32,6,Male,Retail
Open,210,11,Male,Manufacturing
Temporary closed,5,10,Male,Manufacturing
Temporary closed,5,65,Male,Manufacturing
Open,28,6,Male,Manufacturing
Open,5,8,Female,Manufacturing
Open,85,24,Male,Manufacturing
Temporary closed,45,13,Male,Manufacturing
Open,10,15,Female,Manufacturing
Open,7,25,Male,Retail
Open,93,15,Male,Manufacturing
Open,5,6,Male,Other Services
Open,5,14,Female,Retail
Temporary closed,14,16,Male,Manufacturing
Open,5,4,Female,Manufacturing
Open,20,21,Male,Retail
Open,30,23,Male,Retail
Temporary closed,5,25,Male,Manufacturing
Open,35,21,Female,Manufacturing
Open,5,18,Female,Manufacturing
Temporary closed,8,8,Female,Manufacturing
Temporary closed,60,24,Male,Manufacturing
Open,6,13,Male,Other Services
Open,14,15,Male,Manufacturing
Open,9,6,Female,Retail
Permenant closed,70,26,Male,Other Services
Temporary closed,250,38,Male,Other Services
Open,38,16,Male,Manufacturing
Temporary closed,7,16,Female,Other Services
Open,52,23,Male,Other Services
Open,5,9,Female,Manufacturing
Temporary closed,5,15,Male,Manufacturing
Open,104,27,Male,Manufacturing
Open,7,21,Male,Manufacturing
Open,42,23,Male,Manufacturing
Temporary closed,110,16,Male,Manufacturing
Open,52,24,Male,Other Services
Open,23,40,Male,Retail
Open,14,34,Male,Manufacturing
Open,13,20,Male,Retail
Open,42,18,Male,Retail
Open,10,15,Female,Retail
Open,11,30,Male,Other Services
Open,5,30,Male,Other Services
Open,65,16,Male,Other Services
Temporary closed,12,8,Male,Manufacturing
Temporary closed,5,10,Male,Other Services
Open,30,18,Male,Manufacturing
Permenant closed,25,42,Male,Manufacturing
Open,6,16,Male,Manufacturing
Open,6,18,Male,Other Services
Open,70,29,Female,Manufacturing
Open,139,56,Male,Manufacturing
Temporary closed,12,29,Male,Other Services
Open,15,31,Male,Manufacturing
Open,35,17,Male,Manufacturing
Open,10,19,Male,Manufacturing
Open,9,29,Male,Manufacturing
Open,20,66,Female,Manufacturing
Open,14,41,Male,Manufacturing
Open,11,41,Male,Retail
Permenant closed,7,22,Female,Manufacturing
Temporary closed,19,18,Male,Manufacturing
Open,114,34,Male,Manufacturing
Open,100,26,Male,Other Services
Temporary closed,4,6,Male,Manufacturing
Open,28,26,Male,Retail
Open,94,23,Male,Manufacturing
Permenant closed,125,30,Male,Manufacturing
Open,5,40,Male,Manufacturing
Open,12,16,Male,Manufacturing
Temporary closed,30,14,Male,Retail
Open,150,13,Male,Manufacturing
Open,160,15,Male,Manufacturing
Open,8,28,Female,Manufacturing
Open,5,24,Male,Other Services
Open,14,5,Male,Other Services
Open,5,20,Male,Manufacturing
Open,22,11,Male,Manufacturing
Open,130,13,Male,Manufacturing
Open,75,25,Male,Other Services
Open,12,68,Male,Manufacturing
Open,30,18,Male,Retail
Temporary closed,9,19,Male,Retail
Open,18,11,Male,Other Services
Temporary closed,25,39,Female,Manufacturing
Open,9,11,Female,Other Services
Open,169,6,Male,Manufacturing
Open,6,14,Male,Retail
Temporary closed,11,6,Female,Manufacturing
Open,6,24,Male,Manufacturing
Open,9,9,Male,Manufacturing
Open,6,30,Male,Manufacturing
Temporary closed,7,19,Male,Manufacturing
Open,22,7,Male,Manufacturing
Temporary closed,5,16,Male,Manufacturing
Open,12,5,Male,Manufacturing
Temporary closed,130,37,Male,Manufacturing
Open,16,13,Male,Other Services
Open,13,7,Male,Other Services
Open,60,13,Male,Other Services
Temporary closed,19,2,Female,Other Services
Open,24,12,Male,Other Services
Temporary closed,6,10,Male,Other Services
Open,5,12,Male,Other Services
Temporary closed,6,11,Male,Other Services
Open,45,12,Male,Other Services
Open,12,8,Male,Other Services
Open,10,10,Male,Other Services
Temporary closed,5,8,Female,Other Services
Open,66,7,Male,Other Services
Open,7,10,Male,Other Services
Open,15,13,Male,Other Services
Temporary closed,15,19,Male,Other Services
Temporary closed,15,10,Male,Other Services
Open,15,17,Male,Manufacturing
Open,50,34,Male,Manufacturing
Open,225,9,Male,Other Services
Open,105,30,Male,Other Services
Temporary closed,5,4,Male,Other Services
Permenant closed,10,18,Male,Other Services
Open,9,1,Male,Other Services
Open,20,26,Male,Other Services
Open,58,7,Male,Other Services
Open,10,12,Male,Other Services
Open,7,8,Male,Other Services
Open,10,13,Male,Other Services
Open,15,3,Male,Manufacturing
Temporary closed,19,7,Male,Other Services
Open,10,4,Male,Other Services
Open,58,14,Male,Other Services
Open,9,12,Male,Other Services
Open,58,23,Male,Other Services
Open,10,12,Male,Other Services
Open,25,10,Male,Manufacturing
Temporary closed,20,23,Male,Manufacturing
Open,15,13,Male,Manufacturing
Open,8,36,Male,Other Services
Temporary closed,5,11,Male,Other Services
Open,17,6,Male,Manufacturing
Open,15,6,Male,Other Services
Temporary closed,8,23,Female,Manufacturing
Temporary closed,8,14,Male,Other Services
Open,6,6,Male,Retail
Temporary closed,6,16,Male,Retail
Open,28,20,Male,Other Services
Open,12,2,Female,Other Services
Open,9,12,Male,Other Services
Open,12,11,Female,Other Services
Open,6,14,Male,Retail
Open,12,4,Male,Manufacturing
Temporary closed,5,8,Male,Other Services
Temporary closed,8,10,Male,Other Services
Temporary closed,8,3,Female,Other Services
Temporary closed,5,9,Male,Other Services
Open,9,8,Male,Other Services
Open,6,10,Male,Other Services
Open,15,15,Male,Manufacturing
Open,12,10,Male,Other Services
Temporary closed,10,29,Male,Other Services
Temporary closed,65,9,Male,Other Services
Temporary closed,6,25,Male,Other Services
Open,9,8,Male,Other Services
Temporary closed,7,15,Male,Other Services
Open,5,9,Male,Retail
Temporary closed,15,5,Male,Other Services
Open,45,13,Male,Other Services
Open,35,4,Male,Other Services
Open,5,9,Male,Other Services
Open,14,16,Male,Other Services
Open,6,10,Male,Other Services
Open,17,26,Male,Other Services
Temporary closed,5,2,Male,Other Services
Open,20,18,Male,Other Services
Open,6,2,Male,Other Services
Temporary closed,14,6,Male,Other Services
Open,16,7,Male,Other Services
Open,6,6,Male,Other Services
Open,25,12,Male,Other Services
Temporary closed,5,7,Male,Other Services
Temporary closed,10,7,Male,Other Services
Open,18,5,Male,Other Services
Open,15,6,Male,Other Services
Open,6,3,Male,Other Services
Temporary closed,7,12,Male,Retail
Open,15,10,Male,Other Services
Open,10,5,Male,Other Services
Open,16,7,Male,Manufacturing
Open,5,6,Male,Other Services
Open,10,4,Male,Other Services
Open,9,11,Male,Other Services
Temporary closed,18,5,Male,Other Services
Open,33,10,Male,Manufacturing
Open,23,5,Male,Manufacturing
Open,18,10,Male,Manufacturing
Temporary closed,5,4,Male,Other Services
Open,15,2,Male,Manufacturing
Open,40,14,Male,Manufacturing
Open,13,10,Male,Manufacturing
Open,5,3,Female,Other Services
Open,6,8,Male,Other Services
Open,10,15,Male,Other Services
Open,4,9,Male,Other Services
Temporary closed,17,8,Male,Other Services
Open,63,8,Male,Other Services
Open,5,9,Male,Other Services
Open,1,6,Male,Manufacturing
Open,6,7,Female,Other Services
Temporary closed,5,14,Male,Other Services
Temporary closed,31,30,Male,Manufacturing
Open,13,16,Male,Manufacturing
Open,25,18,Male,Manufacturing
Open,40,20,Male,Other Services
Permenant closed,3,10,Male,Other Services
Open,50,12,Male,Manufacturing
Open,30,27,Male,Other Services
Temporary closed,30,17,Male,Other Services
Open,31,28,Male,Other Services
Open,50,18,Male,Other Services
Open,17,21,Male,Other Services
Open,1,16,Male,Other Services
Temporary closed,3,7,Male,Other Services
Temporary closed,18,19,Male,Other Services
Open,5,12,Male,Manufacturing
Open,12,11,Male,Retail
Open,30,14,Male,Other Services
Permenant closed,8,10,Male,Other Services
Open,10,7,Male,Other Services
Temporary closed,6,6,Male,Other Services
Open,6,7,Male,Other Services
Permenant closed,10,17,Female,Other Services
Open,5,15,Male,Other Services
Open,10,20,Male,Other Services
Permenant closed,5,5,Male,Other Services
Open,8,16,Male,Other Services
Open,5,3,Male,Other Services
Open,24,13,Male,Manufacturing
Open,135,8,Male,Other Services
Permenant closed,9,15,Male,Other Services
Open,15,5,Male,Other Services
Open,93,4,Male,Manufacturing
Open,8,3,Male,Other Services
Open,180,21,Male,Other Services
Open,31,5,Male,Manufacturing
Open,7,9,Female,Other Services
Open,21,11,Male,Other Services
Temporary closed,15,1,Male,Manufacturing
Open,5,8,Male,Other Services
Open,20,14,Male,Retail
Open,62,9,Male,Manufacturing
Temporary closed,15,2,Male,Other Services
Temporary closed,6,17,Male,Other Services
Open,80,8,Male,Manufacturing
Open,150,13,Male,Manufacturing
Open,59,66,Male,Manufacturing
Open,120,11,Male,Manufacturing
Open,15,28,Male,Manufacturing
Open,5,48,Male,Retail
Open,11,54,Male,Manufacturing
Open,8,46,Male,Manufacturing
Open,6,34,Male,Manufacturing
Open,5,18,Male,Manufacturing
Open,136,50,Male,Other Services
Open,5,34,Male,Retail
Open,23,63,Male,Other Services
Open,12,73,Male,Manufacturing
Open,7,26,Male,Retail
Open,6,38,Male,Other Services
Open,5,35,Male,Retail
Open,29,33,Male,Manufacturing
Permenant closed,20,26,Male,Manufacturing
Open,2,3,Male,Manufacturing
Open,9,33,Male,Manufacturing
Temporary closed,5,3,Male,Manufacturing
Open,24,19,Male,Manufacturing
Temporary closed,35,40,Male,Other Services
Open,6,21,Male,Manufacturing
Open,7,30,Male,Other Services
Open,15,84,Male,Retail
Temporary closed,4,44,Male,Other Services
Open,26,19,Male,Other Services
Open,45,5,Female,Retail
Open,19,2,Male,Other Services
Open,5,89,Male,Other Services
Temporary closed,9,33,Male,Other Services
Open,6,41,Male,Manufacturing
Open,110,58,Male,Manufacturing
Open,60,46,Male,Manufacturing
Open,18,26,Male,Manufacturing
Permenant closed,3,35,Male,Manufacturing
Temporary closed,9,20,Female,Manufacturing
Open,90,20,Male,Manufacturing
Open,10,28,Male,Retail
Open,5,54,Male,Other Services
Open,14,1,Male,Other Services
Open,18,8,Female,Other Services
Open,10,61,Male,Other Services
Open,6,30,Male,Manufacturing
Open,10,46,Male,Manufacturing
Open,88,68,Male,Manufacturing
Open,205,47,Male,Manufacturing
Temporary closed,22,33,Male,Manufacturing
Open,4,22,Male,Manufacturing
Open,12,64,Male,Other Services
Open,6,35,Male,Retail
Open,8,36,Male,Other Services
Open,27,29,Male,Manufacturing
Open,30,18,Male,Manufacturing
Temporary closed,21,64,Male,Manufacturing
Open,9,59,Female,Manufacturing
Open,28,20,Male,Manufacturing
Open,9,63,Male,Retail
Open,22,20,Female,Retail
Open,150,15,Male,Retail
Permenant closed,16,18,Male,Other Services
Open,23,41,Male,Other Services
Open,13,96,Female,Retail
Open,11,15,Male,Retail
Open,63,28,Male,Other Services
Open,7,16,Male,Other Services
Open,15,32,Male,Retail
Open,7,16,Female,Other Services
Open,6,15,Male,Retail
Open,5,14,Female,Other Services
Open,6,17,Female,Retail
Open,7,24,Male,Other Services
Open,100,49,Male,Manufacturing
Open,82,31,Male,Manufacturing
Open,120,29,Male,Manufacturing
Open,25,63,Male,Manufacturing
Open,18,31,Male,Manufacturing
Open,22,16,Female,Manufacturing
Open,12,67,Male,Manufacturing
Open,110,30,Male,Manufacturing
Open,32,66,Male,Manufacturing
Open,5,41,Male,Manufacturing
Temporary closed,90,49,Female,Manufacturing
Temporary closed,15,35,Male,Manufacturing
Temporary closed,11,13,Female,Retail
Temporary closed,8,65,Male,Manufacturing
Open,6,19,Male,Manufacturing
Open,8,51,Female,Retail
Open,30,19,Male,Manufacturing
Open,32,59,Male,Manufacturing
Open,60,29,Female,Manufacturing
Open,33,55,Male,Manufacturing
Open,30,57,Male,Manufacturing
Open,40,69,Male,Manufacturing
Open,7,36,Male,Manufacturing
Open,5,56,Female,Manufacturing
Open,10,16,Male,Manufacturing
Open,6,25,Male,Other Services
Open,35,57,Male,Manufacturing
Open,12,21,Male,Other Services
Open,6,56,Male,Retail
Open,150,36,Male,Manufacturing
Open,7,13,Male,Manufacturing
Open,9,13,Male,Other Services
Open,7,16,Male,Other Services
Open,100,71,Male,Manufacturing
Open,204,68,Male,Manufacturing
Open,90,24,Male,Manufacturing
Open,80,36,Male,Manufacturing
Open,100,34,Male,Manufacturing
Open,100,96,Male,Manufacturing
Open,105,69,Male,Manufacturing
Open,196,87,Male,Manufacturing
Open,12,25,Male,Manufacturing
Open,49,46,Male,Manufacturing
Open,124,59,Male,Manufacturing
Open,6,12,Male,Manufacturing
Temporary closed,66,5,Female,Manufacturing
Open,75,64,Male,Manufacturing
Open,58,22,Male,Manufacturing
Open,18,45,Male,Manufacturing
Open,20,19,Male,Manufacturing
Open,11,19,Female,Manufacturing
Open,60,48,Male,Retail
Open,15,46,Male,Manufacturing
Open,100,63,Male,Retail
Open,45,30,Male,Retail
Open,20,7,Female,Other Services
Open,12,13,Female,Other Services
Open,9,6,Male,Other Services
Open,9,29,Male,Retail
Open,33,79,Male,Other Services
Permenant closed,3,26,Male,Other Services
Open,4,1,Male,Other Services
Open,66,28,Male,Retail
Open,10,13,Male,Retail
Open,5,20,Male,Retail
Open,11,16,Male,Other Services
Temporary closed,10,43,Male,Retail
Open,9,52,Male,Retail
Open,3,21,Female,Retail
Open,7,3,Male,Retail
Open,5,23,Female,Retail
Open,15,9,Male,Retail
Temporary closed,100,77,Male,Manufacturing
Open,149,8,Female,Manufacturing
Open,20,24,Female,Manufacturing
Open,70,59,Male,Manufacturing
Open,40,19,Male,Manufacturing
Open,49,22,Male,Manufacturing
Open,31,7,Male,Manufacturing
Open,100,37,Male,Manufacturing
Open,55,36,Male,Manufacturing
Open,53,7,Male,Manufacturing
Open,3,21,Male,Manufacturing
Open,15,14,Male,Manufacturing
Open,15,10,Male,Retail
Open,75,9,Male,Manufacturing
Open,15,19,Male,Manufacturing
Open,25,21,Female,Manufacturing
Open,25,14,Female,Manufacturing
Open,8,36,Male,Retail
Temporary closed,24,78,Male,Manufacturing
Open,12,35,Female,Manufacturing
Open,8,32,Male,Manufacturing
Open,4,16,Male,Manufacturing
Open,120,61,Male,Manufacturing
Open,65,94,Male,Retail
Open,15,81,Male,Manufacturing
Open,143,76,Male,Manufacturing
Open,28,63,Male,Manufacturing
Open,125,20,Male,Manufacturing
Open,35,19,Male,Manufacturing
Open,212,69,Male,Manufacturing
Open,40,62,Male,Manufacturing
Temporary closed,110,26,Male,Manufacturing
Open,18,26,Female,Manufacturing
Open,14,44,Male,Other Services
Open,24,11,Male,Other Services
Open,72,19,Female,Manufacturing
Open,25,24,Male,Manufacturing
Open,42,35,Male,Manufacturing
Open,22,40,Male,Other Services
Open,12,29,Male,Manufacturing
Open,6,13,Male,Manufacturing
Open,6,24,Male,Manufacturing
Open,9,30,Male,Manufacturing
Temporary closed,14,21,Male,Manufacturing
Temporary closed,7,25,Male,Manufacturing
Open,19,13,Male,Manufacturing
Permenant closed,15,21,Male,Other Services
Open,9,4,Female,Other Services
Open,40,36,Male,Other Services
Open,21,56,Male,Other Services
Temporary closed,60,23,Male,Other Services
Open,21,59,Male,Other Services
Open,100,53,Male,Other Services
Open,16,3,Male,Retail
Open,20,52,Male,Other Services
Permenant closed,178,66,Male,Other Services
Open,64,33,Male,Other Services
Open,50,46,Male,Retail
Open,50,35,Male,Other Services
Open,8,34,Female,Other Services
Open,22,34,Male,Manufacturing
Temporary closed,8,4,Male,Other Services
Open,11,43,Male,Other Services
Open,137,20,Male,Retail
Open,10,38,Female,Retail
Open,12,51,Male,Other Services
Open,6,24,Female,Other Services
Open,7,14,Female,Other Services
Open,10,9,Male,Other Services
Open,14,29,Male,Other Services
Open,36,35,Male,Other Services
Open,6,14,Male,Manufacturing
Open,18,58,Male,Retail
Open,10,13,Male,Retail
Open,30,43,Male,Manufacturing
Open,7,1,Male,Manufacturing
Open,5,13,Male,Manufacturing
Open,95,43,Male,Other Services
Open,8,45,Male,Other Services
Open,32,9,Male,Other Services
Open,20,32,Male,Manufacturing
Open,117,10,Male,Manufacturing
Open,15,36,Male,Manufacturing
Open,123,41,Male,Manufacturing
Open,41,63,Male,Manufacturing
Open,30,37,Male,Manufacturing
Open,13,40,Male,Manufacturing
Open,18,25,Female,Manufacturing
Open,18,26,Male,Manufacturing
Open,8,17,Male,Retail
Open,45,53,Female,Other Services
Open,9,81,Male,Retail
Temporary closed,40,34,Male,Other Services
Open,6,34,Male,Retail
Open,13,25,Male,Other Services
Temporary closed,8,6,Male,Other Services
Open,110,52,Male,Manufacturing
Temporary closed,10,26,Male,Manufacturing
Open,101,58,Male,Manufacturing
Open,13,44,Female,Manufacturing
Open,200,35,Male,Other Services
Open,9,16,Male,Other Services
Open,5,4,Male,Other Services
Open,8,4,Male,Other Services
Open,5,4,Male,Other Services
Open,7,17,Male,Retail
Open,148,62,Male,Manufacturing
Open,7,23,Male,Other Services
Open,35,31,Male,Manufacturing
Permenant closed,135,6,Male,Manufacturing
Open,67,2,Male,Manufacturing
Temporary closed,7,5,Male,Other Services
Open,6,8,Male,Manufacturing
Open,6,6,Female,Other Services
Open,30,22,Male,Manufacturing
Open,8,48,Male,Manufacturing
Open,8,9,Male,Other Services
Temporary closed,10,3,Male,Manufacturing
Open,80,9,Male,Manufacturing
Open,9,7,Male,Manufacturing
Permenant closed,6,56,Male,Retail
Open,6,7,Female,Other Services
Open,15,4,Male,Manufacturing
Temporary closed,5,13,Female,Other Services
Open,100,61,Male,Manufacturing
Open,8,3,Male,Manufacturing
Open,30,6,Male,Manufacturing
Open,7,21,Male,Other Services
Open,41,26,Male,Manufacturing
Open,16,23,Male,Retail
Open,21,93,Male,Retail
Open,6,30,Female,Manufacturing
Open,5,31,Male,Retail
Open,110,14,Male,Manufacturing
Open,20,36,Male,Manufacturing
Temporary closed,5,5,Male,Manufacturing
Open,9,12,Female,Other Services
Open,13,4,Male,Manufacturing
Open,9,6,Male,Manufacturing
Open,12,36,Male,Retail
Open,5,69,Male,Manufacturing
Open,6,3,Female,Other Services
Open,76,93,Male,Manufacturing
Open,10,41,Male,Other Services
Open,12,18,Male,Other Services
Open,7,5,Male,Retail
Open,15,6,Male,Other Services
Open,21,20,Female,Manufacturing
Open,46,92,Male,Manufacturing
Open,12,3,Male,Other Services
Open,6,5,Male,Retail
Open,19,81,Male,Manufacturing
Open,15,1,Male,Retail
Open,42,11,Male,Retail
Open,13,66,Male,Other Services
Open,15,33,Female,Manufacturing
Open,55,28,Male,Manufacturing
Open,24,20,Male,Manufacturing
Open,6,10,Male,Other Services
Open,15,5,Female,Other Services
Open,22,34,Male,Retail
Open,7,4,Male,Other Services
Open,11,36,Male,Manufacturing
Open,10,20,Male,Manufacturing
Open,17,20,Male,Manufacturing
Open,8,11,Male,Retail
Temporary closed,9,19,Male,Retail
Open,7,3,Male,Retail
Temporary closed,4,6,Male,Other Services
Open,45,39,Male,Other Services
Open,8,4,Male,Manufacturing
Open,7,3,Female,Other Services
